driverId,week,hours-logged,miles-logged
100,6,61,2100
73,40,68,800
22,7,76,3800
94,35,55,2900
37,29,71,2700
92,48,63,100
83,23,79,1100
103,33,56,3300
102,14,64,1300
43,16,50,400
68,26,61,100
84,6,55,900
97,37,66,1500
16,49,62,100
62,2,75,1600
73,15,66,3000
11,25,78,1400
42,9,50,3900
11,5,74,1100
106,5,54,1500
22,41,79,900
37,16,70,1100
100,48,63,0
39,52,56,200
74,35,55,2700
74,29,60,1800
71,37,80,2200
15,3,66,1500
93,46,59,1900
12,37,55,2300
103,45,56,500
22,40,54,200
95,4,70,300
23,7,61,1000
23,38,64,2300
76,39,71,2200
99,22,51,4000
63,16,78,1500
28,51,64,4000
31,20,76,300
36,2,63,3500
25,22,61,3700
101,21,78,3600
70,44,59,3700
17,43,56,3500
52,37,78,1900
19,49,57,2300
75,14,67,1400
87,10,71,3900
30,1,58,2100
12,12,71,1300
87,37,73,2000
45,13,67,2800
94,17,65,1700
30,36,54,1500
23,5,69,4000
55,39,54,2500
32,28,64,2500
69,21,55,100
90,21,71,1900
35,8,61,2900
33,38,50,1200
90,24,63,3000
64,7,67,2800
74,38,50,3200
47,6,60,3000
84,47,59,1400
76,51,75,2100
82,51,69,3300
74,45,59,2800
87,41,73,2200
92,48,75,0
23,44,68,2200
38,20,64,2500
48,24,71,3000
78,24,57,800
35,45,50,2700
25,11,73,1300
11,28,66,1300
98,27,51,1200
11,33,67,2000
70,25,66,2200
23,27,65,1400
47,22,79,3800
66,42,76,1200
85,8,79,3800
35,30,54,2800
95,48,68,0
53,22,65,3600
93,40,64,2800
79,20,71,1200
89,48,77,900
46,52,63,1000
97,25,75,2900
89,19,56,2200
101,29,70,3200
10,44,52,900
22,30,66,3200
88,46,51,300
34,52,52,2900
22,11,56,600
35,39,55,2900
39,12,78,1100
76,6,53,3900
52,14,67,300
91,37,71,3200
49,6,51,3400
22,52,52,1500
75,44,73,3300
80,17,52,1500
20,27,68,3800
25,1,66,600
74,49,71,2100
54,42,51,1400
47,45,60,2700
86,44,62,2400
53,5,69,2400
61,23,59,1800
93,40,51,3700
59,24,53,2700
31,6,57,3800
38,47,54,500
33,40,54,1400
98,16,76,2300
25,32,72,1700
42,52,77,700
12,8,63,700
109,32,65,600
20,15,63,2900
79,19,79,2300
47,43,69,3800
75,6,60,1900
59,4,66,700
83,6,58,3700
68,27,55,600
101,24,56,1400
29,20,69,1000
36,31,78,4000
91,24,80,2300
58,34,50,3500
61,35,67,100
53,30,72,2100
51,21,59,1300
38,50,68,1400
34,11,63,1600
81,8,75,2300
23,25,67,500
109,31,79,2500
107,44,67,2300
77,8,69,3100
89,37,76,1900
79,42,67,2800
11,27,56,100
61,31,65,3300
40,11,76,100
89,50,72,3700
30,40,51,1600
17,30,64,1100
24,27,72,700
54,14,55,2400
92,30,56,3400
83,3,74,800
108,37,79,700
70,16,79,3000
69,8,75,3000
87,47,67,2100
15,43,57,4000
57,10,77,2400
34,39,80,1800
25,5,58,3200
95,28,51,2600
101,3,56,3700
59,48,66,2400
35,34,59,600
61,39,68,400
51,30,65,3600
39,25,61,2200
73,4,57,3000
100,20,51,2300
74,9,77,100
100,46,61,1500
21,33,79,3400
103,11,74,600
49,27,73,2200
32,16,72,0
99,18,59,1400
67,4,76,3400
72,52,58,1700
14,5,55,3700
92,24,79,3500
66,40,68,400
85,25,63,2200
53,47,77,1200
17,13,59,3600
71,43,52,3000
60,22,63,2500
45,33,61,1500
96,19,50,700
36,48,57,3700
79,12,59,1100
99,34,74,2300
97,4,63,2600
41,23,71,1400
80,52,57,800
82,28,51,600
35,23,68,2100
33,48,78,2300
85,23,56,500
104,8,58,1000
97,21,74,1200
60,26,58,2900
52,27,79,2100
63,13,71,2400
89,36,72,3900
66,34,51,3900
19,40,74,1100
82,1,69,3500
40,33,69,3400
87,48,59,3000
30,6,57,1100
87,47,77,3600
41,43,67,1700
11,22,79,3900
88,45,51,0
84,18,51,200
94,35,64,1300
30,42,64,2100
91,13,72,3200
99,31,78,2400
41,13,79,200
91,27,69,2300
94,8,66,100
12,20,52,3900
68,52,67,3800
91,20,50,3500
69,19,78,300
90,28,59,3300
92,13,54,2100
32,47,58,1500
29,22,69,3800
15,30,61,2700
30,50,68,2300
85,23,50,3600
67,11,78,3300
62,23,76,2100
76,45,52,100
99,5,65,1000
49,4,61,1600
24,8,62,2600
77,5,62,100
71,1,58,3600
58,3,52,2500
86,31,66,1400
66,37,76,2400
40,27,52,600
109,48,54,1900
33,27,77,1300
36,45,69,100
32,41,64,2800
61,52,77,200
84,13,66,1700
94,14,59,3500
80,46,57,800
105,30,65,1500
30,18,55,1800
87,52,65,1500
33,46,66,1200
16,30,66,1600
81,30,60,2800
88,43,74,1100
76,35,62,1100
33,29,64,2400
42,49,69,2000
96,50,73,2200
79,52,74,2000
71,22,61,1100
77,4,79,2600
64,41,66,3300
47,23,77,3300
46,24,51,2200
66,9,56,2800
36,19,59,800
104,46,74,2500
28,33,78,3600
109,9,76,0
67,43,59,3700
38,47,54,0
41,15,73,3200
20,19,70,2400
59,50,78,1900
41,2,54,400
109,31,50,200
87,7,62,2600
91,5,51,1000
64,24,78,3600
14,40,75,3100
23,16,77,3400
69,33,54,2400
74,49,60,2500
55,17,75,700
58,19,65,300
80,17,61,1300
21,11,67,2200
101,22,70,4000
25,38,51,1700
71,52,71,3400
15,49,52,2000
62,28,70,0
43,4,51,2600
75,23,75,4000
82,27,76,1100
53,21,75,3800
57,4,55,3700
82,7,51,2700
84,27,76,700
43,43,50,1100
27,41,71,2200
24,23,68,1200
105,48,78,2800
89,14,60,500
94,18,77,700
44,5,62,2000
56,42,63,500
13,50,56,2600
45,46,74,100
45,44,73,600
58,52,65,600
104,15,77,3600
104,47,77,1600
93,35,68,900
42,9,79,300
12,4,50,2500
82,34,69,2700
21,39,61,1800
95,45,55,3000
45,44,52,3500
24,4,76,1400
33,4,77,100
67,31,65,3500
85,37,62,200
17,22,50,3400
70,29,72,3900
108,51,55,3900
83,49,77,3200
35,11,54,3700
16,42,57,1700
24,21,63,3700
13,30,72,3800
51,37,72,3300
44,39,59,800
39,12,62,400
98,50,68,0
82,45,55,800
77,26,68,3500
85,8,65,2000
36,48,53,2900
24,42,70,1200
53,14,64,600
89,9,52,1800
100,51,73,500
89,15,58,2900
29,45,65,800
79,32,63,2700
86,47,69,2800
101,21,69,1600
80,23,75,1000
50,6,56,2600
23,21,75,500
31,7,64,1600
11,47,56,1600
68,4,52,3000
63,30,55,3600
54,47,71,200
14,21,71,2100
34,31,66,3100
22,7,56,100
66,22,61,300
36,21,67,600
34,9,76,3800
59,1,61,200
53,5,71,1900
71,41,70,1700
13,3,59,900
61,43,52,1500
51,17,69,100
85,48,63,500
77,6,59,3200
64,40,63,600
48,41,71,1300
13,2,78,3000
70,39,69,1900
27,23,80,2500
26,16,73,2400
57,52,51,3200
36,6,54,1600
53,46,73,100
11,40,80,2700
84,8,70,2100
83,47,80,2000
73,25,70,1200
102,23,59,3500
52,46,58,1200
95,14,57,2100
45,25,59,2800
34,40,54,3000
101,10,60,3600
13,2,58,1900
64,38,60,700
88,33,78,4000
56,22,76,1900
72,49,54,3200
44,34,55,1700
101,14,54,3200
24,46,59,3200
34,1,71,1300
92,29,71,1900
99,13,80,2800
74,49,74,1800
54,28,54,100
103,4,72,1900
25,26,74,4000
80,36,54,3000
12,28,69,500
18,37,66,1700
100,6,55,1000
86,48,66,1800
70,31,79,1800
18,46,75,3200
56,8,59,1900
53,39,66,4000
93,1,52,3800
103,32,54,0
60,14,60,1900
84,23,77,600
69,16,77,600
71,32,53,2100
40,19,61,1300
68,16,56,300
53,21,78,1200
63,11,56,900
85,13,51,2800
97,22,79,2600
24,21,65,400
58,32,74,2300
14,30,64,1900
97,40,79,900
14,31,58,3200
20,30,51,1300
40,43,77,3800
50,43,61,1500
86,49,55,500
25,9,74,3300
81,50,64,1300
55,35,62,3400
74,31,77,1200
65,14,51,600
72,37,64,400
73,41,54,3100
30,33,55,700
11,19,62,3600
20,43,68,3200
94,48,60,500
106,33,77,2900
58,14,59,1000
25,51,67,3800
78,41,60,2400
108,39,61,1000
73,48,60,900
98,30,66,3800
100,47,65,3500
60,21,61,3300
67,21,60,2500
52,5,78,2600
65,31,58,1300
96,33,50,600
83,17,50,3000
60,1,51,700
45,42,57,2600
29,8,76,1400
95,41,69,2600
83,20,59,3500
59,52,68,1900
92,20,50,900
13,43,79,3400
91,7,63,0
107,15,59,1000
109,21,54,2600
62,8,64,1300
93,45,79,2900
82,15,70,1300
12,48,64,100
85,35,52,3900
107,14,72,1300
24,46,65,1000
91,39,52,3800
76,28,57,4000
88,22,51,3900
96,2,54,3700
62,17,54,3700
108,31,72,200
106,31,61,1900
64,19,51,3300
53,5,70,2600
91,51,71,1800
82,51,80,1600
50,28,51,3700
17,48,60,1300
17,42,51,2700
20,10,68,1000
93,15,66,3100
98,37,78,1800
66,5,67,3200
77,13,69,3400
70,7,61,3400
83,41,68,1300
43,39,54,3300
66,33,71,3200
33,36,78,1100
14,21,52,1300
69,18,75,2900
80,19,61,1000
14,42,56,1900
18,9,72,200
30,15,57,3500
66,32,71,3300
48,45,58,900
76,2,70,100
31,33,66,1600
44,36,77,2900
41,4,54,400
51,52,66,1100
46,50,70,1500
77,30,65,1600
51,37,66,400
55,39,67,3600
12,44,56,300
64,40,59,200
109,43,62,1800
93,5,58,500
32,4,68,1100
61,29,68,400
11,18,75,400
48,9,79,2500
81,37,71,900
19,12,52,200
18,24,66,1500
12,18,55,3500
87,13,56,3300
51,44,74,800
95,31,76,3200
92,33,76,3500
28,13,63,1700
101,51,67,400
104,47,69,1100
24,33,60,3800
39,43,80,3900
91,47,52,100
86,44,50,0
39,11,75,700
22,50,59,2000
64,19,73,2800
25,31,68,0
46,23,62,3100
104,11,58,1300
93,8,74,200
56,36,77,600
14,24,64,3700
92,30,58,3400
74,33,63,1900
25,10,63,1900
22,50,73,200
75,51,76,2900
98,34,66,0
13,35,64,3500
84,27,67,3300
95,13,70,2700
107,35,72,1500
85,40,67,2600
102,20,72,2000
34,18,71,2900
74,1,65,1000
90,40,51,3500
96,10,80,700
43,26,74,1700
76,38,74,3900
102,14,51,2100
34,16,72,1600
70,21,50,700
67,47,78,800
53,38,60,1800
104,35,51,2000
70,38,56,2800
26,3,78,2400
86,4,68,1700
105,10,68,2500
22,9,80,3600
16,5,51,2700
36,44,50,3200
30,49,60,3500
23,35,56,1500
44,50,74,1700
33,47,61,3300
99,28,67,800
89,16,63,1600
32,18,57,3200
35,46,77,4000
95,6,67,3300
22,27,74,400
81,20,64,3200
36,45,62,3500
14,48,80,3000
19,1,66,800
17,9,77,100
49,34,76,1500
98,29,54,300
96,18,75,1100
48,52,68,2300
104,10,76,3000
39,18,65,3200
16,21,64,2500
15,39,50,3900
18,27,55,1200
82,28,63,400
93,14,70,900
38,20,76,2100
47,26,56,2300
57,10,67,1800
50,14,59,1600
72,45,64,300
14,45,63,1600
84,18,67,1600
73,33,77,1200
35,8,53,2800
71,48,76,1300
108,46,72,2400
73,19,75,2100
92,8,61,1400
28,26,64,1800
47,5,52,700
48,1,60,2600
23,36,57,1100
14,11,59,3100
33,49,69,3100
65,18,79,3300
47,5,76,3500
105,44,55,700
